State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Bihar,Buxar,299252.0,169975.13599999997,31421.46,59850.4,35405.0,14020.38,3115.64,23792.16
Bihar,Kaimur (Bhabua),325143.0,196061.229,21134.295,47145.735,15299.0,5125.165,703.7539999999999,10739.898000000001
Bihar,Rohtas,512383.0,295644.99100000004,32792.512,108112.81300000001,95678.0,39993.404,5645.002,65443.752
Bihar,Aurangabad,428291.0,247552.19799999997,28267.205999999995,73666.052,49006.0,20141.466,2646.324,33324.08
Bihar,Gaya,696289.0,437269.49199999997,55006.831000000006,114887.685,111282.0,40061.52,5230.254,86577.396
Bihar,Nawada,379551.0,236460.27300000002,39093.753000000004,65662.323,45323.0,17993.231,2900.672,31408.839
Bihar,Jamui,325909.0,209233.578,26072.72,38783.171,30851.0,15086.139,2622.335,15086.139
Bihar,Jehanabad,186660.0,114235.92,16986.06,41625.18,28132.0,11027.744,1941.1080000000002,19045.364
Bihar,Arwal,134334.0,83152.746,10478.052,30225.15,9960.0,5149.32,607.56,3884.4
Sikkim,North  District,11543.0,5228.978999999999,427.091,8657.25,2066.0,419.398,37.188,2010.2179999999998
Sikkim,West District,32091.0,16558.956000000002,2535.1890000000003,26988.530999999995,1886.0,290.444,124.47599999999998,1684.1979999999999
Sikkim,South District,31135.0,14104.155,1836.965,26433.615,8163.0,1248.939,73.467,7991.577000000001
Sikkim,East District,40626.0,16900.416,3046.95,34857.108,41512.0,7638.208,705.704,39394.888000000006
Arunachal Pradesh,Tawang,10730.0,5032.37,439.92999999999995,7446.620000000001,2452.0,613.0,14.712,2390.7
Arunachal Pradesh,West Kameng,17889.0,8640.386999999999,447.225,6958.821,,,,
Arunachal Pradesh,East Kameng,14503.0,8440.746000000001,377.07800000000003,3190.66,5215.0,2466.6949999999997,130.375,3337.6
Arunachal Pradesh,Papum Pare,20308.0,8996.444,812.32,11128.784,30180.0,9476.52,1056.3,27675.06
Arunachal Pradesh,Upper Subansiri,14542.0,9146.918,363.55,5002.448,4672.0,1798.72,56.06399999999999,3975.8719999999994
Arunachal Pradesh,West Siang,22272.0,9176.064,178.17600000000002,15835.392,8503.0,2550.9,178.563,8128.8679999999995
Arunachal Pradesh,East Siang,19497.0,5459.16,292.455,9241.578,9524.0,5371.536,409.532,8638.268
Arunachal Pradesh,Upper Siang,8569.0,2502.1479999999997,34.276,4824.347,2182.0,1036.45,24.002000000000002,1749.964
Arunachal Pradesh,Changlang,33422.0,16644.156,568.174,21824.566000000003,6498.0,2488.734,51.98400000000001,5932.674
Arunachal Pradesh,Tirap,18420.0,7975.86,184.2,15767.52,6500.0,3068.0,97.5,5973.5
Arunachal Pradesh,Lower Subansiri,18112.0,7281.024,271.68,12334.271999999999,5365.0,1314.425,37.55499999999999,5284.525
Arunachal Pradesh,Kurung Kumey,18603.0,8315.541000000001,2325.375,4371.705,1092.0,542.724,55.692,880.1519999999999
Arunachal Pradesh,Dibang Valley,2055.0,1021.335,147.96,1329.585,1175.0,573.4,65.8,965.85
Arunachal Pradesh,Lower Dibang Valley,12000.0,6324.0,384.0,5760.0,3950.0,1275.85,146.15,3499.7
Arunachal Pradesh,Lohit,33599.0,18177.059,2015.94,16631.505,11372.0,5310.724,409.39200000000005,10143.824
Arunachal Pradesh,Anjaw,6025.0,3181.2,361.5,1668.925,428.0,292.32399999999996,0.0,274.776
Nagaland,Mon,43607.0,27908.48,610.4979999999999,27341.589,7415.0,3611.105,415.24,6984.93
Nagaland,Mokokchung,37536.0,12799.776000000002,187.68,36147.168,17742.0,5854.86,124.194,17475.87
Nagaland,Zunheboto,31267.0,13820.014000000001,531.539,22418.439,6044.0,2181.884,12.088,5705.536
Nagaland,Wokha,38499.0,19865.484,384.99,22906.905,8170.0,1772.89,16.34,7900.39
Nagaland,Dimapur,49116.0,21954.852000000003,1571.7120000000002,44990.255999999994,62853.0,21747.138000000003,1319.9130000000002,60841.704
Nagaland,Phek,38903.0,21163.231999999996,933.672,29332.862,7295.0,2837.755,29.18,6828.12
Nagaland,Tuensang,40690.0,22379.5,1383.46,20263.62,9451.0,5094.089,292.981,8392.488
Nagaland,Longleng,12686.0,8385.446,279.092,8753.34,2451.0,1561.287,137.25599999999997,1855.4070000000002
Nagaland,Kiphire,16032.0,9170.304,160.32,5867.712,4290.0,1192.62,17.16,4088.37
Nagaland,Kohima,31845.0,10699.92,191.07,16623.09,44255.0,14117.345,840.845,40714.6
Nagaland,Peren,20204.0,10708.12,181.836,15577.284,4073.0,2488.603,85.53300000000002,3783.817
Manipur,Senapati,38008.0,22690.776,836.176,27555.8,1826.0,1157.684,32.868,1782.1759999999997
Manipur,Tamenglong,23982.0,13573.812,2014.4880000000003,15924.048,4119.0,2253.0930000000003,428.376,3983.073
Manipur,Churachandpur,52972.0,28392.992000000002,1218.356,43595.956,4853.0,2547.825,111.619,4794.763999999999
Manipur,Bishnupur,34977.0,12137.019000000002,2063.643,31864.047,21172.0,6372.772000000001,868.052,19986.368000000002
Manipur,Thoubal,65961.0,22096.935,3627.855,60486.237,38302.0,10264.936,1991.704,36042.182
